filename,title,publisher,year,image,external_url,featured
1-5x1-5-swimmingwithelephants-com.md,"1-5x1-5",Swimming with the Elephants,,/uploads/wp/1-5x1-5.jpg,https://swimmingwithelephants.com/tag/holly-painter/,
37412639-hollypainter-com.md,"37412639",Holly Painter Archive,,/uploads/wp/37412639-723x1024.jpg,/uploads/wp/On-the-way-to-English-fluency.jpg,
a-very-short-essay-about-volunteering-with-826michigan-good-magazine.md,"A very short essay about volunteering with 826michigan",GOOD Magazine,,,,
another-list-of-sorrows-projected-onto-the-landscape-venice-adoptapoet-files-wordpress-com.md,"Another List Of Sorrows Projected Onto The Landscape Venice",Adoptapoet,,/uploads/wp/landfall-221-cover.jpg,/uploads/wp/another-list-of-sorrows-projected-onto-the-landscape-venice.jpg,
apeiron-issuu-com.md,"Apeiron",Issuu,,/uploads/wp/Apeiron-854x1024.png,https://issuu.com/apeironreview/docs/issue_15_winter_2019,
arena-4-hollypainter-com.md,"arena 4",Holly Painter Archive,,/uploads/wp/arena-4-211x300.png,/uploads/wp/Maggot.jpg,
arena-arena.md,"Arena",Arena,,/uploads/wp/Arena-cover.jpg,/uploads/wp/Arena-poems.jpg,
arena3-arena3.md,"arena3",arena3,,/uploads/wp/arena3-cover.png,/uploads/wp/arena3.png,
barrelhouse-13-barrelhouse-13.md,"Barrelhouse 13",Barrelhouse 13,,/uploads/wp/Barrelhouse.png,/uploads/wp/Barrelhouse-2.pdf,
because-i-m-thirty-five-and-not-fifteen-plainsongs.md,"Because I'm Thirty-Five and Not Fifteen",Plainsongs,,/uploads/wp/plainsongs-cover-663x1024.jpeg,/uploads/wp/Plainsongs.pdf,
body-body.md,"Body",Body,,/uploads/wp/Body-cover.png,http://bodyliterature.com/2014/02/03/holly-painter/,
bombay-gin-bombay-gin.md,"Bombay Gin",Bombay Gin,,/uploads/wp/Bombay-Gin-cover-682x1024.jpg,/uploads/wp/Bombay-Gin-poem.pdf,
borderlands-borderlands.md,"Borderlands",Borderlands,,/uploads/wp/Borderlands-cover.png,/uploads/wp/Field-Trip.pdf,
carbon-culture-carbon-culture.md,"Carbon Culture",Carbon Culture,,/uploads/wp/Carbon-Culture-cover.png,http://www.carbonculturereview.com/poetry/two-poems-4/,
collapsar-collapsar.md,"Collapsar",Collapsar,,/uploads/wp/Collapsar-cover.png,https://thecollapsar.org/the-collapsar-archive/2014/06/03/three-poems-by-holly-painter?rq=painter,
crack-the-spine-crack-the-spine.md,"Crack the Spine",Crack the Spine,,/uploads/wp/Crack-the-Spine-cover.png,http://www.crackthespine.com/2015/02/issue-138.html,
cryptic-crossword-i-cryptic-crossword-iii-cryptic-crossword-xv-cryptic-crossword-xvi-and-cryptic-crossword-xviii-literaryshanghai-com.md,"Cryptic Crossword I, Cryptic Crossword III, Cryptic Crossword XV, Cryptic Crossword XVI, and Cryptic Crossword XVIII",Literaryshanghai,,/uploads/wp/cropped-Logo-01-white.jpg,http://www.literaryshanghai.com/holly-painter-five-poems-2/,
cryptic-crossword-l-and-cryptic-crossword-lvi-nimrod.md,"Cryptic Crossword L and Cryptic Crossword LVI",Nimrod,,/uploads/wp/Nimrod-Cover-697x1024.jpg,/uploads/wp/Nimrod-Cryptic-Crossword-Poems.pdf,
cryptic-crossword-xxiv-cryptic-crossword-xxv-cryptic-crossword-xxvii-cryptic-crossword-xxviii-and-cryptic-crossword-xxx-alluvium.md,"Cryptic Crossword XXIV, Cryptic Crossword XXV, Cryptic Crossword XXVII, Cryptic Crossword XXVIII, and Cryptic Crossword XXX",Alluvium,,/uploads/wp/cropped-Logo-01-white.jpg,http://www.literaryshanghai.com/holly-painter-five-more-poems/,
dead-flowers-dead-flowers.md,"Dead Flowers",Dead Flowers,,/uploads/wp/dead-flowers-cover.jpg,/uploads/wp/flaccid.jpg,
decades-review-11-decades-review-11.md,"Decades Review 11",Decades Review 11,,/uploads/wp/Decades-Review-11-cover-796x1024.jpg,/uploads/wp/gelatinous.jpg,
delmarva-review-delmarva-review.md,"Delmarva review",Delmarva review,,/uploads/wp/Delmarva-review-cover.jpg,/uploads/wp/Delmarva-poems.pdf,
denny-s-whiskeypaper.md,"Denny's",WhiskeyPaper,,,,
dr-hurley-s-2-snakeoilcure-wordpress-com.md,"Dr Hurley's 2",Snakeoilcure,,/uploads/wp/Dr-Hurleys-2.png,https://snakeoilcure.wordpress.com/2013/05/29/plop/,
dr-hurley-s-dr-hurley-s.md,"Dr Hurley's",Dr Hurley's,,/uploads/wp/Dr-Hurleys-cover.png,https://snakeoilcure.wordpress.com/2013/06/24/phlegmatic/,
flyover-flyover.md,"Flyover",Flyover,,/uploads/wp/Flyover-cover.png,http://www.flyovercountryreview.com/poetry/chi-town/,
fourth-river-thefourthriver-com.md,"Fourth River",Thefourthriver,,/uploads/wp/Fourth-River-682x1024.jpg,https://www.thefourthriver.com/o9-content/2020/10/31/the-tragedy-of-space-opera,
francishouse-freezeraypoetry-com.md,"FrancisHouse",Freezeraypoetry,,/uploads/wp/FrancisHouse.png,http://www.freezeraypoetry.com/holly-painter.html,
fullsizerender-hollypainter-com.md,"Fullsizerender",Holly Painter Archive,,/uploads/wp/FullSizeRender-1-1024x798.jpg,/uploads/wp/FullSizeRender.jpg,
hamilton-stone-hamilton-stone.md,"Hamilton Stone",Hamilton Stone,,/uploads/wp/Hamilton-Stone-cover.png,http://www.hamiltonstone.org/hsr29poetry.html#painter,
hawai-i-review-cover-001-hollypainter-com.md,"Hawai'i Review cover 001",Holly Painter Archive,,/uploads/wp/hawaii-review-cover-001.jpg,/uploads/wp/botb1.jpg,
holly-painter-five-poems-ii-literaryshanghai-com.md,"Holly Painter Five Poems Ii",Literaryshanghai,,/uploads/wp/cropped-Logo-01-white.jpg,http://www.literaryshanghai.com/holly-painter-five-poems-ii/,
